Prediction: live True: live Correct: True
Prediction: die True: live Correct: False
Prediction: live True: live Correct: True
Prediction: live True: live Correct: True
Prediction: live True: live Correct: True
Prediction: live True: die Correct: False
Prediction: live True: live Correct: True
Prediction: live True: live Correct: True
Prediction: live True: live Correct: True
Prediction: live True: live Correct: True
Prediction: die True: die Correct: True
Prediction: live True: live Correct: True
Prediction: die True: die Correct: True
Prediction: live True: live Correct: True
Prediction: die True: die Correct: True
Prediction: live True: live Correct: True
Prediction: die True: live Correct: False
Prediction: die True: live Correct: False
Prediction: die True: live Correct: False
Prediction: live True: live Correct: True
Prediction: live True: live Correct: True
Prediction: live True: live Correct: True
Prediction: live True: live Correct: True
Prediction: die True: live Correct: False
Prediction: live True: live Correct: True
Prediction: live True: live Correct: True
Prediction: die True: live Correct: False
Overall Accuracy: 74.07407407407408%
